curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10,Category 11,Category 12,Category 13,Category 14
,CO_331:0001037,RtFlsZn_Ms_NIRS_mg100gFW,ZnFW,Evaluation in Trials,Postharvest (PH),Recommended,CloneSelector2015:Def_02,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0002054,Storage root zinc concentration in fresh weight basis,Quality,The zinc concentration in fresh weight basis of the storage root,,RtFlsZnFw,,Storage root,Zinc concentration in fresh weight basis,Recommended,CloneSelector2015:Def_02,CO_331:0002144,Measurement zinc- Near-infrared spectroscopy (NIRS) method  of the raw storage root in fresh weight,Measurement,Measure the zinc concentration in fresh weight basis and record it  with NIRS,,Hansen et al. 2009,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0001038,RwRtFlsFrC_Et_1to9,FRAW,Evaluation in Trials,Postharvest (PH),Recommended,Gruneberg2019,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0000130,Storage root fiber content,Quality,The fiber content of the raw storage root,,RtFlsFf,,Storage root,Fiber content,Recommended,Gruneberg,CO_331:0002043,Estimation - Fiber method in raw storage root,Estimation,Observe and taste the raw storage root flesh and rate it,,Gruneberg,CO_331:0002033,RtFlsFf 5 pt. Scale,Ordinal,,,,W. Gruneberg,1 = No fibre,3 = Few fiber,5 = Moderate fiber,7 = Fibrous,9 = Very fibrous,,,,,,,,,
,CO_331:0001039,RtFlsCa_Ms_NIRS_mg100gFW,CaFW,Evaluation in Trials,Postharvest (PH),Recommended,CloneSelector2015:Def_20,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0002053,Storage root calcium concentration in fresh weight basis,Quality,The calcium concentration in fresh weight basis of the storage root,,RtFlsCaFw,,Storage root,Calcium concentration in fresh weight basis,Recommended,CloneSelector2015:Def_20,CO_331:0002086,Measurement  Calcium- Near-infrared spectroscopy (NIRS) method in fresh weight,Measurement,Measure the calcium concentration in fresh weight basis and record it,,Hansen et al. 2009,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0001040,RtFlsMg_Ms_NIRS_mg100gFW,MgFW,Evaluation in Trials,Postharvest (PH),Recommended,CloneSelector2015:Def_21,"CIP, SASHA",W. Gruneberg,,EN,Sweetpotato,CO_331:0002057,Storage root magnesium concentration in fresh weight basis,Quality,Content of magnesium in fresh weight basis of the storage root,,RtFlsMgFw,,Storage root,Magnesium concentration in fresh weight basis,Recommended,CloneSelector2015:Def_21,CO_331:0002128,Measurement the magnesium- Near-infrared spectroscopy (NIRS) method in fresh weight,Measurement,Measure the magnesium concentration in fresh weight basis and record it,,Hansen et al. 2009,CO_331:0000925,mg/100g,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0001041,VnBCol_Et_0to3,VNBCOL,Characterizing stocks,Root growing (RG),Recommended,"Ellis, D.",CIP,T. Carey,,EN,Sweetpotato,CO_331:0001083,Vine base color,Morphological,The base color of the vine,,VnBCol,,Vine base,Color,Recommended,"Ellis, D.",CO_331:0002026,Visual estimation - Vine base color method,Estimation,Observe the base color of the vine and rate it,,"Ellis, D.",CO_331:0002036,VnBCol 3 pt. scale,Ordinal,,,,"Ellis, D.",0 = Absent,1 = Green,2 = Purple,3 = Other,,,,,,,,,,
,CO_331:0001042,VnNCol_Et_0to3,VNNCOL,Characterizing stocks,Root growing (RG),Recommended,"Ellis, D.",CIP,T. Carey,,EN,Sweetpotato,CO_331:0001088,Vine node color,Morphological,The node color of the vine,,VnNCol,,Vine node,Color,Recommended,"Ellis, D.",CO_331:0002027,Visual estimation - Vine node color method,Estimation,Observe the color of the vine node and rate it,,"Ellis, D.",CO_331:0002037,VnNCol 3 pt. Scale,Ordinal,,,,"Ellis, D.",0 = Absent,1 = Green,2 = Purple,3 = Other,,,,,,,,,,
,CO_331:0001043,VnTCol_Et_0to3,VNTCOL,Characterizing stocks,Root growing (RG),Recommended,"Ellis, D.",CIP,T. Carey,,EN,Sweetpotato,CO_331:0001082,Vine apex color,Morphological,The apex color of the vine,,VnACol,,Vine tip,Color,Recommended,"Ellis, D.",CO_331:0002028,Visual estimation - Vine tip color method,Estimation,Observe the color of the vine tip and rate it,,"Ellis, D.",CO_331:0002038,VnTCol 3 pt. Scale,Ordinal,,,,"Ellis, D.",0 = Absent,1 = Green,2 = Purple,3 = Other,,,,,,,,,,
,CO_331:0001044,CooTime_Ms_min,COOKTIME,Evaluation in Trials,Postharvest (PH),Recommended,"Carey, T.",CIP,CIP,,EN,Sweetpotato,CO_331:0001064,Storage root cooking time,Quality,The cooking time of storage root,,Cootime,,Storage root,Cooking time,Recommended,"Carey, T.",CO_331:0002007,Measurement - Cooking time of the storage root method,Measurement,Measure the cooking time of the storage roots in minutes and rate it,,"Carey, T.",CO_331:0002030,minutes,Numerical,,,,"Carey, T.",,,,,,,,,,,,,,
,CO_331:0001045,RwRtFru_Ms_g100gDW,FRUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,"CIP, SASHA, NCSU",W. Gruneberg,,EN,Sweetpotato,CO_331:0001067,Storage root fructose content in dry weight basis,Quality,Fructose content in dry weight basis of the storage root,,RtFruDw,,Storage root,Fructose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002094,Measurement Fructose- Near-infrared spectroscopy (NIRS) method of the raw storage root in dry weight,Measurement,Measure the fructose content of the raw storage root in dry weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001046,BlRtFru_Ms_g100gDW,BOILFRUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0001067,Storage root fructose content in dry weight basis,Quality,Fructose content in dry weight basis of the storage root,,RtFruDw,,Storage root,Fructose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002093,Measurement Fructose- Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the fructose content of the boiled storage root in dry weight and record it,,W. Gruneberg,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001047,RwRtGlu_Ms_g100gDW,GLUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,"CIP, SASHA, NCSU",W. Gruneberg,,EN,Sweetpotato,CO_331:0001069,Storage root glucose content in dry weight basis,Quality,Glucose content in dry weight basis of the storage root,,RtGluDw,,Storage root,Glucose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002098,Measurement Glucose- Near-infrared spectroscopy (NIRS) method of the raw storage root in dry weight,Measurement,Measure the glucose content of the raw storage root in dry weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001048,BlRtGlu_Ms_g100gDW,BOILGLUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0001069,Storage root glucose content in dry weight basis,Quality,Glucose content in dry weight basis of the storage root,,RtGluDw,,Storage root,Glucose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002097,Measurement Glucose- Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the glucose content of the boiled storage root in dry weight and record it.,,W. Gruneberg,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001049,RwRtSuc_Ms_g100gDW,SUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,"CIP, SASHA, NCSU",W. Gruneberg,,EN,Sweetpotato,CO_331:0001074,Storage root sucrose content in dry weight basis,Quality,Sucrose content in dry weight basis of the storage root,,RtSucDw,,Storage root,Sucrose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002113,Measurement sucrose - Near-infrared spectroscopy (NIRS) method of the raw storage root in dry weight,Measurement,Measure the sucrose content of the raw storage root in dry weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001050,BlRtSuc_Ms_g100gDW,BOILSUCDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0001074,Storage root sucrose content in dry weight basis,Quality,Sucrose content in dry weight basis of the storage root,,RtSucDw,,Storage root,Sucrose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002112,Measurement sucrose - Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the sucrose content of the boiled storage root in dry weight and record it,,W. Gruneberg,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001051,RwRtMal_Ms_g100gDW,MALTDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0001071,Storage root maltose content in dry weight basis,Quality,Maltose content in dry weight basis of the storage root,,RtMalDw,,Storage root,Maltose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002106,Measurement maltose - Near-infrared spectroscopy (NIRS) method of the raw storage root in dry weight,Measurement,Measure the maltose content of the raw storage root in dry weight and record it,,W. Gruneberg,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001052,BlRtMal_Ms_g100gDW,BOILMALTDW,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0001071,Storage root maltose content in dry weight basis,Quality,Maltose content in dry weight basis of the storage root,,RtMalDw,,Storage root,Maltose content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002105,Measurement maltose - Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the maltose content of the boiled storage root in dry weight and record it,,W. Gruneberg,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001053,RwRtTSg_Ms_g100gDW,TOTSUGDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,"CIP, FAO, IPGRI",T.ZumFelde,,EN,Sweetpotato,CO_331:0001076,Storage root total sugar content in dry weight basis,Quality,The total sugar content in dry weight basis of the storage root,,RtTSgDw,,Storage root,Total sugar content in dry weight basis,Recommended,Huaman1991:Def_6.2.5,CO_331:0002140,Measurement total sugar - Near-infrared spectroscopy (NIRS) method of the raw storage root in dry weight,Measurement,Measure the total sugar content of the raw storage root in dry weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001054,BlRtTSg_Ms_g100gDW,BOILTOTSUGDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,"CIP, FAO, IPGRI",T.ZumFelde,,EN,Sweetpotato,CO_331:0001076,Storage root total sugar content in dry weight basis,Quality,The total sugar content in dry weight basis of the storage root,,RtTSgDw,,Storage root,Total sugar content in dry weight basis,Recommended,Huaman1991:Def_6.2.5,CO_331:0002139,Measurement total sugar - Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the total sugar content of the boiled storage root in dry weight basis and record it,,CIP_QNlab,CO_331:00001127,g/100g,Numerical,2.0,0.0,,CIP_QNlab,,,,,,,,,,,,,,
,CO_331:0001055,RwRtSta_Et_1to9,STRAW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,"CIP, SASHA, NCSU",W. Gruneberg,,EN,Sweetpotato,CO_331:0001073,Storage root starch content,Quality,Starch content in raw storage root,,RwRtSta,,Storage root,Starch content,Recommended,CIP_QNlab,CO_331:0002025,Visual estimation - Starch content,Estimation,Observe and taste the starch content of the raw storage root and rate it,,W. Gruneberg,CO_331:0002034,RwRtSta 5 pt. Scale,Nominal,,,,W. Gruneberg,1 = Without starch,3 = Little starch,5 = Moderate starch,7 = Starchy,9 = Very starchy,,,,,,,,,
,CO_331:0001100,LfAInd_Cp,LAI,,Vegetative stage,Recommended,CIP,CIP-SSA,Breeder,,EN,Sweetpotato,CO_331:0001105,Leaf area index,Physiological,Defined as total surface area of foliage per unit ground area,,LfAInd,,Leaf,area index,Recommended,CIP-SSA,CO_331:0001110,Leaflet area index - Computation method,Computation,Estimated by a Plant Canopy Analyzer calculated as LAI (Leaf area index),Leaf area/Land area,CIP-SSA,CO_331:0001115,unitless,Numerical,,,,,,,,,,,,,,,,,,
,CO_331:0001101,LfSt_Ms_mmol,LSC,,Vegetative stage,Recommended,CIP,CIP-SSA,Breeder,,EN,Sweetpotato,CO_331:0001106,Stomatal conductance,Physiological,Stomatal conductance is the rate of passage of CO2 entering or water vapor exiting through the stomata of a leaf,,LfSt,,Leaf,Stomatal conductance,Recommended,CIP-SSA,CO_331:0001111,Stomatal conductance-leaf porometer method,Measurement,A leaf porometer is used to estimate stomatal conductance by simply clipping the sensor head onto a leaf and record stomatal conductance within 30 seconds,,CIP-SSA,CO_331:0001116,mmol,Numerical,,,,,,,,,,,,,,,,,,
,CO_331:0001102,LfStDn_Ct_mm2,LSD,,Vegetative stage,Recommended,CIP,CIP-SSA,Breeder,,EN,Sweetpotato,CO_331:0001107,Stomatal density,Physiological,The number of stomata per leaf area.,,LfStDn,,Leaf,Stomatal density,Recommended,CIP-SSA,CO_331:0001112,Stomatal density-  Counting  microscopy method,Counting,Counting  number of stome in the underside (abaxial) and top side (adaxial) of the leaf with a microscopie,,CIP-SSA,CO_331:0001117,mm2,Numerical,,,,,,,,,,,,,,,,,,
,CO_331:0001103,CT_Ms_?,CT,,Vegetative stage,Recommended,CIP,CIP-SSA,Breeder,,EN,Sweetpotato,CO_331:0001108,Canopy temperature,Physiological,The temperature of the canopy by plot with a thermal image taken for a infrared thermografic camera,,CT,,Canopy,temperature,Recommended,CIP-SSA,CO_331:0001113,Canopy temperature with thermography method,Measurement,Measure the canopy temperature and record it. Use a computer program to measure the mean temperature of the canopy by plot with a thermal image taken using an Unnamed Air Vehicle (UAV),,CIP-SSA,CO_331:0001118,?,Numerical,,,,,,,,,,,,,,,,,,
,CO_331:0001104,CTD_cp_?,CTD,,Vegetative stage,Recommended,CIP,CIP-SSA,Breeder,,EN,Sweetpotato,CO_331:0001109,Canopy temperature depression,Physiological,Deviation of temperature of plant canopies from the ambient temperature,,CTD,,Canopy temperature,depresion,Recommended,CIP-SSA,CO_331:0001114,Canopy temperature depression method,Computation,Compute canopy temperature depression using the formula,CTD=air temperature - canopy temperature,CIP-SSA,CO_331:0001118,?,Numerical,,,,,,,,,,,,,,,,,,
,CO_331:0002039,RtANCRW_Cp_kg,ANCRW,Evaluation in Trials,Harvest (H),Recommended,CIP,"CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0002041,Average non-commercial storage root weight,Agronomic,The average non-commercial weight of storage roots,,RtANCRW,,Non-commercial storage root,Weight,Recommended,CIP,CO_331:0002049,Computation - Average non-commercial weight of storage roots method,Computation,Compute the average non-commercial weight of storage roots per net plot using the formula,Weight of non-commercial storage roots / Number of non-commercial storage roots,CIP,CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0002040,RtATRW_Cp_kg,ATRW,Evaluation in Trials,Harvest (H),Recommended,CIP,"CIP, SASHA",CIP,,EN,Sweetpotato,CO_331:0002042,Average total storage root weight,Agronomic,The average total weight of storage roots,,RtATRW,,Total storage root,Weight,Recommended,CIP,CO_331:0002050,Computation - Average total weight of storage roots method,Computation,Compute the average total weight of storage roots per net plot using the formula,Total storage root weight/Number of storage roots after harvest per NET plot,CIP,CO_331:0000893,kg/plot,Numerical,2.0,0.0,,CIP,,,,,,,,,,,,,,
,CO_331:0002058,MLfApAc_obs_1-5,MLTT_appearance,On farm trials and Participatory variety selection trials,Post-harvest stage,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002065,Leaf appearance,Quality,The visual aspect of leaves,,BlLfAp,,Boiled leaf,Appearance,Recommended,,CO_331:0002072,Visual estimation - Appearance method,Estimation,Panelist observe the visual appearance of boiled leaves and rate it,,CIP_SSA,CO_331:0002149,LfApAc 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:0002059,MLfTsAc_obs_1-5,MLTT_taste,On farm trials and Participatory variety selection trials,Post-harvest stage,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002066,Leaf flavor,Quality,The flavor of the leaves,,BlLfTs,,Boiled leaf,Taste,Recommended,,CO_331:0002073,Tuber flavor after cooking - method,Estimation,Panelists taste leaves samples after cooking and rate it,,CIP_SSA,CO_331:0002150,LfTsAc 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:0002060,MPlPdt_obs_1-3,MFarPW,On farm trials and Participatory variety selection trials,Biotic stress trait,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002067,Pest damage tolerant,Biotic stress,The pest damage tolerant of the plant,,PlPdt,,Plant,Pest damage tolerant,Recommended,,CO_331:0002074,Visual estimation farmer preference for genotype tolerant of pest- method,Estimation,Farmer are encouraged to select the materials and rank the ability of a variety to tolerate pests especially weevils relative to the tolerance of pests of his currently preferred variety using the colour cards system,,CIP_SSA,CO_331:0002151,PlPdt 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:0002061,MPlYlAb_obs_1-3,MFarYA,On farm trials and Participatory variety selection trials,Harvest trait,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002068,Yielding ability,Biotic stress,Yielding ability of the plant,,PlYlAb,,Plant,Yielding ability,Recommended,,CO_331:0002075,Visual estimation farmer  preference for genotype of the yielding ability,Estimation,Farmer are encouraged to select the materials and rank the yielding ability of his currently preferred variety using the colour cards system,,CIP_SSA,CO_331:0002152,PlYlAb 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:0002062,MSrSkACol_obs_1-3,MFarASrs,On farm trials and Participatory variety selection trials,Harvest trait,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002069,Attractiveness of the storage-root skin color,Quality/Harvest trait,Attractiveness of the storage-root skin color  of a variety with respect to their local variety  at harvest,,SrSkACol,,Storage-root skin,Attractiveness of  the color,Recommended,,CO_331:0002076,Visual estimation farmer  preference for the attractiveness of the storage-root skin color,Estimation,Farmer are encouraged to select the materials and rank  for the attractiveness of the storage-root skin color of his currently preferred variety using the colour cards system,,CIP_SSA,CO_331:0002153,SrSkACol 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:0002063,MFSrFlACol_obs_1-3,MFarASrf,On farm trials and Participatory variety selection trials,Harvest trait,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002070,Attractiveness of the storage-root flesh color,Quality/Harvest trait,Attractiveness of the storage-root flesh color  of a variety with respect to their local variety  at harvest,,SrFlACol,,Storage-root flesh,Attractiveness of  the color,Recommended,,CO_331:0002077,Visual estimation farmer preference for the attractiveness of the  storage-root flesh color,Estimation,The farmer is encouraged to rank the attractiveness of the root flesh color of a variety  relative to the root flesh color of their currently preferred variety using the colour cards system,,CIP_SSA,CO_331:0002154,SrFlACol 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:20000,MLfTexAc_obs_1-5,MLTT_texture,On farm trials and Participatory variety selection trials,Post-harvest stage,Recommended,Gruneberg et al. 2019,CIP,Breeders,,EN,Sweetpotato,CO_331:0002064,Leaf texture,Quality,The texture of the leaf,,BlLfTex,,Boiled leaf,Texture,Recommended,,CO_331:0002071,Visual estimation - Texture method,Estimation,Panelist observe the visual texture of boiled leaves and rate it,,CIP_SSA,CO_331:0002148,LfTexAc 3pt. Scale,Nominal,,,,1= Improved or better than the local check (green),2= Equal or nearly equal to the local check (yellow),3= Inferior compared to the local check (red),,,,,,,,,,,,
,CO_331:2000005,PltUni_Et_0to9,UNIFORM,Evaluation in Trials,Harvest (H),,"Yencho, C.","Yencho, C.","Yencho, C.",,EN,Sweetpotato,CO_331:2000001,Plant uniformity,Agronomic,The uniformity of the plant. Estimation of height uniformity of newly emerging vines,,PltUni,,Plant,Uniformity,Recommended,"Yencho, C.",CO_331:2000002,Visual estimation - Plant uniformity,Estimation,Observe the plant uniformity and rate it. Estimation of height uniformity of newly emerging vines,,"Yencho, C.",CO_331:2000003,PltUni 6 pt. scale,Nominal,,,,"Yencho, C.",0 = Highly Variable,1 = Moderately variable,3 = SlightIy variable,5 = Intermediate,7 = SlightIy uniform,9 = Uniform,,,,,,,,
,CO_331:2000009,PltProd_Et_0to9,PRODUCTION,Evaluation in Trials,Harvest (H),,"Yencho, C.","Yencho, C.","Yencho, C.",,EN,Sweetpotato,CO_331:2000006,Plant production,Agronomic,The production of the plant,Intensity of new vine production,PltProd,,Plant,Production,Recommended,"Yencho, C.",CO_331:2000007,Visual estimation - Plant production,Estimation,Observe the plant production the and rate it. Estimation of intensity of new vine production,,"Yencho, C.",CO_331:2000008,PltProd 6 pt. scale,Nominal,,,,"Yencho, C.",0 = None,1= SlightIy sparce,3=Intermediate,5 = SlightIy profuse,7 = Moderately profuse,9 = Profuse,,,,,,,,
,CO_331:2000013,PltEar_Et_1to3,EARLINESS,Evaluation in Trials,Harvest (H),,"Yencho, C.","Yencho, C.","Yencho, C.",,EN,Sweetpotato,CO_331:2000010,Plant earliness,Agronomic,The earliness of the plant,,PltEar,,Plant,Earliness,Recommended,"Yencho, C.",CO_331:2000011,Visual estimation - Plant earliness,Estimation,Observe the plant earliness and rate it. Estimation of earliness of new vine production,,"Yencho, C.",CO_331:2000012,PltEar 3 pt. scale,Ordinal,,,,"Yencho, C.",1 = Late,2 = Mid,3 = Early,,,,,,,,,,,
,CO_331:2000015,TtlVnProd_Et_no,"TOTALPROD,TtlBedProd_Et_no",Evaluation in Trials,Harvest (H),,"Yencho, C.","Yencho, C.","Yencho, C.",,EN,Sweetpotato,CO_331:2000014,Total vine production,Agronomic,The total vine production of the plant. Total vine production in estimated number of plants,Total Vine Production,TtlVnProd,,Plant,Total vine production,Recommended,"Yencho, C.",CO_331:0002048,Visual estimation - Total vine production method,Estimation,Observe the total vine production and record it. Total vine production in estimated number of plants,,"Yencho, C.",CO_331:0000956,TtlVnProd,Numerical,,,,"Yencho, C.",,,,,,,,,,,,,,
,CO_331:2000017,PltsAvail_Ct_no,AVAILABLE,Evaluation in Trials,Root growing (RG),,"Yencho,C.","Yencho,C.","Yencho,C.",,EN,Sweetpotato,CO_331:2000016,Plants available counting number,Other/Crop research,Plants available for planting measured in number of plants counted,,PltsAvail,,Plants available,Number,Recommended,"Yencho,C.",CO_331:0000885,Counting - Number of plants available,Counting,Count the plants available and record it,,"Yencho,C.",CO_331:0002155,PltsAvail,Numerical,,,,"Yencho,C.",,,,,,,,,,,,,,
,CO_331:2000027,BlRtSta_Ms_%DW,BOILSTARDW,Evaluation in Trials,Postharvest (PH),Recommended,CIP_QNlab,CIP,T.ZumFelde,,EN,Sweetpotato,CO_331:0000115,Storage root starch content in dry weight basis,Quality,Starch content in dry weight basis of the storage root,,RtStaDw,,Storage root,Starch content in dry weight basis,Recommended,CIP_QNlab,CO_331:0002089,Measurement  the starch content- Near-infrared spectroscopy (NIRS) method of the boiled storage root in dry weight,Measurement,Measure the starch content of the boiled storage root in dry weight and record it,,CIP_QNlab,CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:2000028,BlRtSuc_Ms_pct,BOILSUCRP,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000124,Storage root sucrose content,Quality,Sucrose content of the storage root,,RtSuc,,Storage root,Sucrose content,Recommended,CIP_QNlab,CO_331:2000024,Measurement - Sucrose content of the boiled storage root,Computation,Compute the sucrose content of the boiled storage root in percentage using the formula,,"Miller, Gail Lorenz (1959)",CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:2000029,BlRtMal_Ms_pct,BOILMALTP,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000127,Storage root maltose content,Quality,Maltose content of the storage root,,RtMal,,Storage root,Maltose content,Recommended,CIP_QNlab,CO_331:2000025,Measurement - Maltose content of the boiled storage root,Computation,Compute the maltose content of the boiled storage root in percentage using the formula,,"Miller, Gail Lorenz (1959)",CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:2000030,BlRtGlu_Ms_pct,BOILGLUCP,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000121,Storage root glucose content,Quality,Glucose content of the storage root,,RtGlu,,Storage root,Glucose content,Recommended,CIP_QNlab,CO_331:2000023,Measurement - Glucose content of the boiled storage root,Computation,Compute the glucose content of the boiled storage root in percentage using the formula,,"Miller, Gail Lorenz (1959)",CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:2000031,BlRtFru_Ms_pct,BOILFRUCP,Evaluation in Trials,Postharvest (PH),Recommended,W. Gruneberg,CIP,W. Gruneberg,,EN,Sweetpotato,CO_331:0000118,Storage root fructose content,Quality,Fructose content of the storage root,,RtFru,,Storage root,Fructose content,Recommended,CIP_QNlab,CO_331:2000022,Measurement - Fructose content of the boiled storage root,Computation,Compute the fructose content of the boiled storage root in percentage using the formula,,"Miller, Gail Lorenz (1959)",CO_331:0000900,%,Numerical,2.0,0.0,100.0,CIP,,,,,,,,,,,,,,
,CO_331:2000036,RtNCmh_Cp_rtplant,NCRPP,Evaluation in Trials,Harvest (H),Recommended,CIP,CIP,CIP,,EN,Sweetpotato,CO_331:0000212,Number of commercial storage roots,Other/Crop research,Evaluation of the number of all storage roots that weigh more or equal than 100 g,,RtCmN,,Commercial storage root,Number,Recommended,CIP,CO_331:2000035,Computing - Number of commercial storage roots per plant harvested method,Computation,Compute the number of commercial storage roots per plant harvested using the formula,Number of commercial storage roots / Number of plants harvested,CIP,CO_331:0000891,storage root/plant,Numerical,0.0,0.0,,CIP,,,,,,,,,,,,,,
